0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
1	1	1	2	3	4	4	4	5	5	5	5	5	4	4	3	2	2	2	2	3	5	5	5	5	5	5	6	6	6	6	5	5	5	5	5	5	5	5	5	4	3	2	1	1	1	1	1	1	1	1	1	1	1	1	2	2	2	2	3	3	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	4	4	4	4	4	3	3	3	3	3	3	3	3	3	2	1	0	0	0	0	0	0	0	0	0	0	0	0	1	1	
4	4	5	6	9	12	13	14	15	16	16	16	14	12	10	8	7	6	6	8	10	12	14	15	16	16	17	17	17	17	17	17	17	16	16	17	17	17	17	16	13	10	6	4	3	3	3	3	3	4	4	4	4	4	5	6	6	7	7	8	10	13	15	17	17	17	17	17	16	16	16	16	16	16	16	16	15	15	15	15	15	15	15	15	15	15	15	15	15	15	15	15	16	16	15	15	14	14	14	13	13	12	12	11	11	11	11	11	11	11	11	11	7	3	0	0	0	0	0	0	0	0	0	0	0	0	2	2	
9	9	10	13	18	24	27	29	31	32	32	30	27	23	19	15	14	13	14	16	19	22	25	27	30	32	34	35	35	35	35	35	34	33	33	34	35	35	35	32	27	19	13	9	7	7	7	7	7	7	8	8	8	9	10	11	12	12	12	14	17	23	28	32	34	34	34	34	33	33	32	32	32	33	33	32	31	31	31	31	31	31	30	30	30	30	30	31	31	31	31	31	31	31	30	30	29	28	27	26	26	25	24	23	23	23	23	22	22	22	22	22	15	7	0	0	0	0	0	0	0	0	0	0	0	0	2	2	
12	12	13	17	24	32	37	39	41	42	40	36	31	25	21	18	18	19	21	22	24	25	27	30	35	41	45	47	47	47	47	46	45	44	45	46	47	47	46	42	35	25	16	11	10	10	9	9	9	10	10	11	11	12	12	13	13	13	13	15	19	25	32	38	43	45	46	45	45	44	44	44	44	44	44	43	42	41	41	42	42	41	40	40	39	40	41	42	42	42	42	41	40	40	39	38	37	36	35	35	34	33	32	32	31	31	31	30	30	29	29	30	20	10	0	0	0	0	0	0	0	0	0	0	0	0	3	3	
14	14	15	20	27	36	41	44	45	44	41	35	28	23	20	19	20	23	25	27	28	27	26	28	34	43	50	53	54	54	54	52	51	50	50	51	52	51	49	44	36	25	17	13	12	11	11	10	10	10	11	12	12	13	13	13	13	13	13	14	17	21	28	36	43	49	51	51	51	51	50	50	51	50	49	48	47	47	47	47	47	46	45	45	45	45	47	48	48	48	46	44	43	43	43	42	41	40	39	39	38	37	37	36	36	35	35	34	34	33	33	33	22	11	0	0	0	0	0	0	0	0	0	0	0	0	3	3	
14	14	15	20	27	36	41	43	43	39	34	27	21	18	17	18	20	23	27	30	31	30	26	26	30	40	48	53	54	54	54	52	51	49	50	51	51	50	47	41	33	23	16	12	12	12	11	10	10	10	11	12	12	12	12	12	11	11	12	12	14	16	20	27	36	44	49	51	51	51	51	51	51	50	49	48	47	47	47	47	47	47	46	46	46	47	49	50	50	48	46	43	42	42	41	41	40	40	39	38	38	37	37	37	36	35	35	34	34	33	32	33	22	11	0	0	0	0	0	0	0	0	0	0	0	0	3	3	
14	14	15	20	27	36	41	42	39	34	27	21	18	17	17	18	20	25	30	35	38	37	33	29	30	38	47	53	55	54	54	52	50	48	49	50	51	50	47	41	33	25	18	14	13	12	11	10	10	10	10	11	12	12	12	12	12	12	12	13	13	14	16	21	29	37	44	48	50	51	51	51	51	50	50	49	48	48	48	48	48	48	48	48	49	50	51	52	52	50	47	44	42	41	41	41	40	40	39	39	38	38	37	37	36	35	35	34	33	33	32	32	22	11	0	0	0	0	0	0	0	0	0	0	0	0	3	3	
14	14	15	20	27	35	40	40	35	28	22	18	17	17	17	18	21	27	33	40	45	45	40	34	33	38	46	52	55	54	53	51	48	46	47	49	51	52	50	46	40	33	26	20	15	13	11	10	10	10	10	11	11	12	12	12	12	12	13	13	13	13	14	16	21	28	35	40	45	48	49	50	50	50	50	50	50	50	50	50	51	51	51	51	52	53	54	54	54	52	50	46	43	42	41	41	40	40	39	39	38	38	38	37	36	35	34	34	33	32	32	32	21	11	0	0	0	0	0	0	0	0	0	0	0	0	3	3	
