0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
0	0	1	1	0	0	0	0	0	0	1	1	0	0	0	0	0	1	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	2	2	2	2	1	1	1	1	1	1	1	1	1	1	1	2	2	2	2	2	2	1	1	1	1	1	1	2	2	2	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	2	2	2	2	1	1	1	1	1	1	1	2	2	2	1	1	1	1	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	1	1	0	0	0	1	1	1	0	0	1	1	1	1	1	0	0	0	0	0	0	0	0	0	0	0	1	1	1	1	1	1	1	1	1	1	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
3	3	4	4	3	3	3	3	3	4	4	4	3	3	3	3	3	4	4	4	4	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	2	2	2	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	4	4	4	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	4	4	4	4	3	3	2	1	1	1	1	1	1	0	0	0	0	0	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	2	2	2	2	2	2	2	2	2	2	2	2	2	2	3	3	4	4	5	5	5	5	5	5	5	6	6	6	6	6	7	7	7	7	8	8	8	8	8	7	7	7	7	7	7	7	7	7	8	8	8	8	8	8	8	8	8	8	8	8	8	8	8	8	7	7	6	6	6	6	6	7	7	8	8	8	8	7	7	7	7	7	7	8	8	8	8	8	8	8	7	7	7	7	7	8	8	8	8	8	7	7	8	8	8	9	9	9	10	10	10	10	10	10	10	10	9	9	9	9	9	10	10	10	10	10	10	10	10	10	11	11	11	11	10	10	10	10	10	10	10	11	11	11	11	10	10	9	9	9	9	9	9	10	10	10	9	9	9	10	10	10	10	10	10	10	10	10	10	10	10	10	9	9	9	9	9	8	8	8	8	7	7	7	7	6	6	6	6	6	6	6	6	6	6	7	7	7	7	7	7	7	6	6	6	6	6	6	5	5	4	4	4	3	3	3	3	3	3	3	3	3	3	3	3	3	3	4	4	4	4	3	3	3	4	4	4	4	4	4	4	4	4	4	3	3	3	3	3	3	3	3	3	3	3	4	4	4	4	4	4	4	4	4	4	3	3	3	3	3	3	3	3	4	3	3	3	3	3	3	3	3	3	2	2	2	2	2	3	2	2	2	2	2	2	2	2	2	2	2	2	3	3	3	3	3	3	3	2	2	2	2	2	2	2	2	2	2	2	2	1	1	2	2	2	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0	0	0	0	1	1	0	0	0	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
9	9	10	10	9	9	9	9	9	10	10	10	10	9	9	9	10	10	11	11	10	9	9	8	8	9	9	9	9	9	9	9	9	9	9	8	8	7	7	7	8	8	8	8	8	8	8	9	9	9	9	9	9	9	9	9	9	9	9	9	9	10	10	10	10	10	10	10	9	9	9	8	8	9	9	9	9	8	8	8	8	8	8	8	8	8	9	9	9	9	9	8	8	8	9	9	10	10	9	9	9	9	9	9	9	10	11	11	10	10	8	6	4	4	3	3	3	3	2	1	1	1	2	2	3	3	3	3	3	3	3	3	4	4	4	4	4	4	4	4	4	4	4	4	3	3	3	3	3	4	4	4	4	4	4	5	5	6	6	6	6	7	7	6	6	6	7	6	6	7	8	9	11	12	12	13	13	13	13	14	15	16	17	17	17	17	18	19	19	20	20	21	21	21	21	20	19	18	18	18	19	19	19	20	21	21	22	22	22	21	21	21	21	21	20	20	21	21	21	21	20	19	17	17	16	17	17	18	19	20	21	21	20	20	19	19	19	19	20	20	20	21	21	21	21	20	19	19	19	19	20	20	21	21	21	20	20	20	20	21	22	24	24	25	25	26	26	26	26	26	26	25	24	24	24	24	25	25	26	27	27	27	27	27	27	27	27	28	28	27	27	26	26	26	26	26	27	27	28	28	28	27	25	24	24	24	24	24	25	25	25	25	25	25	25	25	25	26	26	25	25	25	25	25	25	25	25	25	24	24	23	22	22	22	21	21	20	20	19	18	18	17	17	17	17	17	17	17	17	17	18	18	18	18	18	18	18	17	17	16	17	17	17	17	15	14	12	11	10	10	9	9	8	8	8	8	8	8	8	8	8	9	10	10	11	10	9	9	9	10	11	11	11	11	10	10	11	11	11	10	9	9	8	8	8	7	7	7	7	8	9	10	11	11	11	11	11	11	11	11	10	10	9	8	8	8	8	9	10	10	10	9	9	8	8	8	7	7	7	7	6	5	6	6	7	7	7	7	7	7	7	6	6	5	6	6	7	8	8	9	9	9	9	8	7	7	6	6	6	6	6	6	6	6	6	5	5	5	5	5	5	5	5	4	4	4	4	4	4	4	3	3	3	3	3	3	4	4	4	4	4	4	4	4	4	3	3	2	2	3	3	3	3	2	3	3	4	4	5	5	5	5	5	5	5	5	4	3	3	2	2	2	1	1	1	2	2	1	1	1	1	1	1	1	2	2	2	2	2	2	2	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	2	2	2	2	2	2	2	3	3	4	4	5	5	5	5	4	4	4	4	4	3	3	3	3	2	2	2	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
15	17	17	17	17	16	16	16	17	17	18	18	17	17	16	17	17	18	18	18	18	16	15	15	15	15	16	17	17	17	16	16	16	16	16	15	14	13	12	13	14	15	15	15	15	14	14	15	16	17	17	17	16	16	15	15	16	16	16	16	16	17	18	18	18	18	18	18	17	16	16	15	15	15	16	16	16	15	15	14	14	15	15	15	14	14	14	15	15	15	15	15	15	15	16	17	17	17	17	17	16	16	16	16	17	18	19	19	18	17	15	11	8	6	6	6	6	6	5	3	3	3	3	4	4	5	5	6	6	6	6	6	7	7	7	7	7	7	7	7	7	7	7	7	6	6	6	6	6	7	7	8	8	7	7	8	9	10	10	10	11	12	12	12	12	12	12	11	11	11	14	16	19	20	21	23	23	23	23	25	27	29	30	30	30	31	32	33	34	34	34	35	36	37	36	35	33	32	32	32	33	34	34	35	36	37	38	38	37	36	36	36	37	37	36	36	36	36	36	35	34	32	31	30	29	30	31	32	34	35	36	36	36	34	33	32	33	34	34	35	35	36	36	35	35	35	34	33	33	33	35	36	37	37	37	36	35	35	36	37	39	41	42	43	44	44	44	44	45	45	44	43	43	42	42	42	42	43	45	46	47	47	46	46	46	47	47	48	47	46	45	45	45	45	45	45	46	47	47	47	46	45	43	42	42	42	42	42	43	43	43	43	43	43	43	43	43	43	43	43	42	42	43	43	42	42	42	42	41	41	39	38	37	37	37	36	36	35	33	32	31	30	29	29	30	30	30	29	30	30	31	31	30	30	30	30	30	30	29	29	30	30	31	30	28	25	23	20	18	17	17	16	15	13	13	13	14	14	15	14	15	16	18	18	18	17	16	16	16	17	18	20	20	19	18	18	18	18	18	17	16	15	15	14	13	13	12	12	12	13	15	17	18	19	19	19	19	20	20	20	19	17	16	15	15	14	14	15	17	18	18	17	16	15	15	14	13	13	13	12	11	10	10	11	13	13	13	14	14	14	13	12	11	11	11	12	13	14	15	15	16	16	16	15	13	12	12	12	12	11	11	11	11	11	11	10	10	10	10	10	10	9	9	8	8	8	7	7	7	7	7	6	6	7	7	7	7	7	8	8	9	9	9	8	8	7	6	6	6	6	7	6	6	6	6	6	7	8	9	10	10	10	10	10	9	9	7	6	5	5	4	4	3	3	3	3	4	3	3	3	3	3	3	3	3	4	4	4	4	4	4	4	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	2	2	2	2	2	2	3	2	2	2	2	2	2	2	3	3	3	3	4	4	4	4	4	4	4	5	6	7	8	9	9	9	9	8	8	7	7	7	6	6	5	5	5	5	4	2	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
21	23	24	24	23	22	22	22	23	24	24	24	24	24	24	24	24	25	25	25	24	22	21	20	21	21	22	23	23	22	22	22	23	23	23	22	20	18	17	18	19	20	21	21	20	20	19	20	21	23	23	23	23	22	21	22	22	22	22	22	22	23	24	24	25	25	26	25	24	23	22	21	20	21	21	22	22	21	21	20	20	20	21	21	20	19	19	19	20	21	21	20	20	20	21	23	24	24	23	23	22	22	22	22	24	25	26	25	25	23	21	17	13	9	8	8	8	8	7	6	5	4	5	5	6	7	8	9	9	9	9	9	9	10	10	10	10	10	10	10	9	9	9	9	9	9	8	8	9	10	11	11	11	11	11	12	13	14	14	15	15	16	17	17	18	18	17	16	15	16	19	23	26	28	29	31	31	32	32	35	38	41	41	41	41	43	45	46	46	46	46	48	49	50	50	48	46	44	44	45	46	48	49	50	51	52	53	52	51	50	49	50	51	51	50	50	49	49	48	47	46	45	43	41	41	41	42	44	46	48	49	49	49	47	46	45	46	46	47	47	48	48	48	47	47	46	46	45	45	46	48	49	50	50	50	49	48	49	50	52	53	55	57	58	59	59	59	60	61	60	60	59	58	57	57	57	57	59	61	63	64	64	63	63	63	63	64	64	63	62	61	61	61	61	61	61	62	63	63	62	61	59	58	57	56	56	57	58	58	59	59	59	59	59	59	58	57	57	57	57	57	56	57	57	56	56	56	56	55	54	53	51	50	50	50	49	48	47	45	44	42	41	40	40	40	41	40	40	40	41	42	41	41	40	40	40	40	40	40	40	41	42	43	42	40	36	32	29	26	24	23	21	20	19	18	18	19	19	20	20	22	24	25	25	24	23	23	23	24	24	25	26	26	26	25	25	24	24	23	22	21	21	21	20	18	17	16	16	16	17	19	21	24	26	27	27	28	28	29	28	27	25	23	22	22	21	21	21	23	24	24	23	22	22	21	20	19	19	18	17	15	14	14	16	17	18	19	19	19	19	18	17	15	15	16	17	18	19	20	20	21	22	21	20	18	17	17	17	17	17	16	16	16	16	16	15	15	15	15	15	14	14	13	13	12	12	11	11	11	11	10	10	10	10	10	10	11	11	12	12	13	13	13	13	12	12	11	10	10	10	10	10	9	9	9	10	11	12	13	14	15	15	14	14	13	12	10	8	7	6	6	5	5	4	4	5	5	4	4	4	4	4	4	4	4	5	5	5	5	6	6	5	5	5	5	5	5	5	5	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	3	3	3	3	4	4	4	3	3	3	3	3	4	4	4	5	5	5	5	5	5	5	6	6	7	8	9	11	12	13	14	14	13	11	11	10	10	9	8	8	7	7	7	6	4	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
24	26	27	27	26	25	25	25	26	27	28	28	28	28	28	28	28	28	28	27	26	25	24	23	24	24	25	26	26	25	25	25	26	26	27	26	23	21	20	20	22	24	24	24	23	23	22	22	24	26	27	27	26	25	24	25	25	25	25	24	25	25	26	27	27	28	29	28	27	26	25	24	23	23	23	24	25	25	24	24	23	23	24	24	23	21	21	22	23	23	23	22	22	23	24	26	26	26	26	26	26	25	25	26	27	29	29	28	28	27	25	21	17	12	9	9	9	10	9	8	6	6	6	6	7	8	9	10	10	10	10	10	11	11	11	12	12	12	12	12	11	11	11	11	11	10	10	10	10	11	12	13	13	13	13	14	15	16	16	17	18	18	19	20	21	21	20	19	19	20	24	27	30	32	33	34	35	36	37	41	44	47	47	47	47	49	51	52	52	52	52	54	56	57	57	55	53	51	51	52	54	56	58	59	59	59	60	60	59	57	56	57	57	57	57	56	55	54	53	52	52	51	50	48	47	47	48	50	52	54	56	56	56	54	53	52	53	53	53	53	53	53	53	53	52	52	51	51	52	53	54	56	57	57	57	56	56	56	58	59	61	62	64	65	66	66	67	68	68	68	67	66	66	65	65	65	65	66	69	71	72	72	71	71	71	71	72	71	71	69	69	68	69	69	69	69	69	70	70	69	67	66	65	64	64	63	64	65	66	67	66	66	66	67	66	64	63	63	64	63	63	63	63	63	62	62	61	61	61	60	59	57	56	56	55	55	54	53	51	50	48	46	45	45	45	45	45	44	45	46	46	46	45	44	44	44	45	45	46	47	47	48	49	48	46	42	39	36	32	29	27	25	23	22	21	20	21	21	22	23	26	28	29	28	26	26	27	29	29	28	28	28	29	29	29	28	28	27	25	24	24	23	23	22	21	19	18	17	17	18	19	21	24	27	29	31	32	33	34	34	32	30	29	28	27	26	25	25	26	27	27	26	25	25	25	24	23	22	22	21	19	18	17	18	20	21	21	20	20	20	19	18	17	17	18	19	20	21	22	22	23	23	22	21	20	20	20	21	21	20	19	19	19	19	18	18	18	19	18	18	18	17	16	15	15	15	15	15	14	14	13	12	13	13	13	13	14	15	15	15	16	16	17	16	16	15	14	14	13	13	13	13	12	11	11	12	13	14	15	16	16	16	16	16	15	13	11	9	8	7	6	6	5	5	5	5	5	5	5	5	5	5	5	5	4	5	5	6	6	6	6	6	6	6	7	7	7	6	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	4	4	4	3	3	4	4	4	4	4	4	4	4	4	4	5	5	5	6	6	6	6	6	6	7	7	8	9	10	12	14	15	16	16	15	14	13	12	11	10	9	9	8	8	8	7	4	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
25	26	28	28	27	26	26	27	28	29	29	29	29	29	29	29	29	28	27	27	26	25	25	25	25	26	26	27	27	26	26	26	26	27	28	27	25	22	20	20	22	24	26	26	25	25	24	24	25	26	27	27	26	25	25	25	26	26	25	25	25	25	26	27	27	28	28	28	27	26	25	24	23	23	23	24	26	26	26	25	24	24	25	25	24	23	23	23	25	25	24	23	23	24	25	26	27	27	27	27	27	26	26	27	28	29	29	29	28	28	27	24	20	15	12	10	10	11	10	9	8	7	7	7	8	9	10	10	11	11	11	11	11	11	12	12	13	13	13	12	12	11	11	12	12	11	11	11	11	12	13	13	13	13	14	16	17	18	19	19	18	18	20	22	23	23	22	21	22	24	27	30	32	33	34	34	35	37	39	43	46	48	49	48	49	51	53	54	54	54	54	55	57	58	58	56	55	54	53	55	57	60	61	61	61	61	62	62	61	60	59	59	59	59	58	57	56	55	54	53	53	53	52	51	50	50	50	52	54	56	58	59	58	57	56	55	55	55	55	55	54	54	54	53	53	53	53	54	54	56	57	58	58	59	59	58	58	59	60	61	63	64	66	67	68	68	69	70	70	70	70	69	68	67	67	67	67	69	71	73	74	74	74	73	72	73	73	73	73	72	71	71	70	70	70	71	71	71	71	70	68	68	68	67	66	65	65	66	67	68	68	68	68	68	67	66	65	64	65	65	64	64	64	64	64	63	62	62	62	61	60	58	57	57	56	56	55	54	53	52	50	48	47	46	46	46	45	45	46	47	47	47	46	45	44	45	46	47	48	49	50	51	51	49	47	45	43	40	37	34	31	29	27	25	23	22	21	21	22	23	26	29	30	29	28	29	30	31	31	29	28	28	29	29	29	29	29	28	26	25	24	24	24	23	22	20	19	18	18	18	18	19	21	24	27	29	32	34	36	37	36	35	34	33	32	31	29	28	28	28	27	26	25	25	26	25	25	25	24	24	22	21	20	20	21	21	21	20	19	19	19	18	18	18	18	19	20	21	22	22	22	22	21	21	20	20	21	22	22	22	21	20	20	19	19	19	19	20	20	20	20	19	18	18	17	17	17	17	17	17	16	15	15	15	15	16	17	17	17	17	17	18	18	18	18	17	17	16	16	15	15	14	14	13	13	13	13	15	16	16	17	16	16	15	14	13	11	9	8	7	6	5	5	5	5	5	5	5	5	5	5	5	5	4	4	4	5	6	6	6	6	6	6	7	7	7	7	6	6	6	6	6	6	6	5	5	5	5	6	6	6	6	6	6	6	5	5	5	5	4	4	4	4	5	5	5	4	4	4	4	4	4	5	5	5	5	5	6	6	6	6	6	6	7	8	9	10	12	14	16	17	17	16	15	13	12	12	11	10	9	9	9	8	7	5	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
